Rank,Club,Country,Elo,Slug,_fetched_at
320,Houston Dynamo,USA,1583.0,houston-dynamo,2026-08-30T08:43:37.451971+00:00
321,Wrexham,ENG,1583.0,Wrexham,2026-08-30T08:43:37.451971+00:00
322,Cremonese,ITA,1583.0,Cremonese,2026-08-30T08:43:37.451971+00:00
323,FC Tokyo,JPN,1581.0,fc-tokyo,2026-08-30T08:43:37.451971+00:00
324,Temperley,ARG,1581.0,temperley,2026-08-30T08:43:37.451971+00:00
325,Rangers,SCO,1581.0,Rangers,2026-08-30T08:43:37.451971+00:00
326,NYC FC,USA,1581.0,new-york-city-fc,2026-08-30T08:43:37.451971+00:00
327,FC Seoul,KOR,1580.0,fc-seoul,2026-08-30T08:43:37.451971+00:00
328,Always Ready,BOL,1580.0,always-ready,2026-08-30T08:43:37.451971+00:00
329,Al Ahly,EGY,1580.0,alahly,2026-08-30T08:43:37.451971+00:00
330,Godoy Cruz,ARG,1580.0,godoy-cruz,2026-08-30T08:43:37.451971+00:00
331,Saint-Etienne,FRA,1580.0,SaintEtienne,2026-08-30T08:43:37.451971+00:00
332,Holstein,GER,1580.0,Holstein,2026-08-30T08:43:37.451971+00:00
333,Operário,BRA,1579.0,operario-ferroviario-pr,2026-08-30T08:43:37.451971+00:00
334,Famalicao,POR,1579.0,Famalicao,2026-08-30T08:43:37.451971+00:00
335,Darmstadt,GER,1579.0,Darmstadt,2026-08-30T08:43:37.451971+00:00
336,Karabakh Agdam,AZE,1579.0,KarabakhAgdam,2026-08-30T08:43:37.451971+00:00
337,Charlotte,USA,1579.0,charlotte-fc,2026-08-30T08:43:37.451971+00:00
338,Lautern,GER,1578.0,Lautern,2026-08-30T08:43:37.451971+00:00
339,Columbus,USA,1578.0,columbus-crew,2026-08-30T08:43:37.451971+00:00
340,Swansea,ENG,1577.0,Swansea,2026-08-30T08:43:37.451971+00:00
341,GE Jujuy,ARG,1577.0,gimnasia-de-jujuy,2026-08-30T08:43:37.451971+00:00
342,Kawasaki Frontale,JPN,1577.0,kawasaki-frontale,2026-08-30T08:43:37.451971+00:00
343,Paphos,CYP,1577.0,Paphos,2026-08-30T08:43:37.451971+00:00
344,Avaí,BRA,1576.0,avai-sc,2026-08-30T08:43:37.451971+00:00
345,Utrecht,NED,1575.0,Utrecht,2026-08-30T08:43:37.451971+00:00
346,Gamba Osaka,JPN,1575.0,gamba-osaka,2026-08-30T08:43:37.451971+00:00
347,Chicago Fire,USA,1575.0,chicago-fire,2026-08-30T08:43:37.451971+00:00
348,Larnaca,CYP,1575.0,Larnaca,2026-08-30T08:43:37.451971+00:00
349,Djurgarden,SWE,1574.0,Djurgarden,2026-08-30T08:43:37.451971+00:00
350,FC Dallas,USA,1574.0,fc-dallas,2026-08-30T08:43:37.451971+00:00
351,Guaraní,PAR,1574.0,guarani,2026-08-30T08:43:37.451971+00:00
352,Cerezo Osaka,JPN,1573.0,cerezo-osaka,2026-08-30T08:43:37.451971+00:00
353,São Bernardo,BRA,1573.0,sao-bernardo-fc-sp,2026-08-30T08:43:37.451971+00:00
354,Liverpool,URU,1572.0,LiverpoolUY,2026-08-30T08:43:37.451971+00:00
355,Minnesota Utd,USA,1572.0,minnesota-united-fc,2026-08-30T08:43:37.451971+00:00
356,Standard,BEL,1571.0,Standard,2026-08-30T08:43:37.451971+00:00
357,Libertad de Loja,ECU,1571.0,libertad-de-loja,2026-08-30T08:43:37.451971+00:00
358,San Juan,ARG,1571.0,san-martin-de-san-juan,2026-08-30T08:43:37.451971+00:00
359,O\'Higgins,CHI,1571.0,ohiggins,2026-08-30T08:43:37.451971+00:00
360,Ferro,ARG,1571.0,ferro-carril-oeste,2026-08-30T08:43:37.451971+00:00
361,Orlando City,USA,1570.0,orlando-city,2026-08-30T08:43:37.451971+00:00
362,Athletic,BRA,1570.0,athletic-mg,2026-08-30T08:43:37.451971+00:00
363,Viborg,DEN,1570.0,Viborg,2026-08-30T08:43:37.451971+00:00
364,Ñublense,CHI,1569.0,nublense,2026-08-30T08:43:37.451971+00:00
365,Tromsø,NOR,1569.0,Tromso,2026-08-30T08:43:37.451971+00:00
366,Pyramids FC,EGY,1568.0,pyramids-fc,2026-08-30T08:43:37.451971+00:00
367,Racing,URU,1567.0,racing_2,2026-08-30T08:43:37.451971+00:00
368,RC Celta B,ESP,1567.0,rc-celta-b,2026-08-30T08:43:37.451971+00:00
369,Catanzaro,ITA,1567.0,Catanzaro,2026-08-30T08:43:37.451971+00:00
370,SM Tucuman,ARG,1567.0,san-martin-de-tucuman,2026-08-30T08:43:37.451971+00:00
371,Genclerbirligi,TUR,1567.0,Genclerbirligi,2026-08-30T08:43:37.451971+00:00
372,Chapecoense,BRA,1567.0,chapecoense,2026-08-30T08:43:37.451971+00:00
373,Sportivo Triniden,PAR,1566.0,sportivo-trinidense,2026-08-30T08:43:37.451971+00:00
374,Maccabi Tel Aviv,ISR,1566.0,MTelAviv,2026-08-30T08:43:37.451971+00:00
375,Nantes,FRA,1566.0,Nantes,2026-08-30T08:43:37.451971+00:00
376,Dynamo Kyiv,UKR,1565.0,DynamoKyiv,2026-08-30T08:43:37.451971+00:00
377,CA Ceuta,ESP,1565.0,ad-ceuta-fc,2026-08-30T08:43:37.451971+00:00
378,West Brom,ENG,1565.0,WestBrom,2026-08-30T08:43:37.451971+00:00
379,Gimnasia y Tiro d,ARG,1564.0,gimnasia-y-tiro-de-salta,2026-08-30T08:43:37.451971+00:00
380,Karlsruhe,GER,1563.0,Karlsruhe,2026-08-30T08:43:37.451971+00:00
381,Le Mans,FRA,1563.0,LeMans,2026-08-30T08:43:37.451971+00:00
382,Leicester,ENG,1563.0,Leicester,2026-08-30T08:43:37.451971+00:00
383,Guimaraes,POR,1562.0,Guimaraes,2026-08-30T08:43:37.451971+00:00
384,Botafogo PB,BRA,1562.0,lsapi-3987,2026-08-30T08:43:37.451971+00:00
385,Audax Italiano,CHI,1561.0,audax-italiano,2026-08-30T08:43:37.451971+00:00
386,Estudiantes de Ca,ARG,1561.0,estudiantes-de-caseros,2026-08-30T08:43:37.451971+00:00
387,Levski,BUL,1561.0,Levski,2026-08-30T08:43:37.451971+00:00
388,Cardiff,ENG,1560.0,Cardiff,2026-08-30T08:43:37.451971+00:00
389,Eldense,ESP,1560.0,Eldense,2026-08-30T08:43:37.451971+00:00
390,Hajduk,CRO,1560.0,Hajduk,2026-08-30T08:43:37.451971+00:00
391,Leones del Norte,ECU,1560.0,leones-del-norte,2026-08-30T08:43:37.451971+00:00
392,Montpellier,FRA,1560.0,Montpellier,2026-08-30T08:43:37.451971+00:00
393,Thun,SUI,1560.0,Thun,2026-08-30T08:43:37.451971+00:00
394,Ponferradina,ESP,1559.0,Ponferradina,2026-08-30T08:43:37.451971+00:00
395,Shabab Al Ahli Cl,UAE,1559.0,shabab-al-ahli-club,2026-08-30T08:43:37.451971+00:00
396,Guayaquil,ECU,1558.0,guayaquil-city,2026-08-30T08:43:37.451971+00:00
397,Rodez,FRA,1558.0,Rodez,2026-08-30T08:43:37.451971+00:00
398,St. Louis City,USA,1558.0,st-louis-city-sc,2026-08-30T08:43:37.451971+00:00
399,Nagoya Grampus,JPN,1558.0,nagoya-grampus,2026-08-30T08:43:37.451971+00:00
400,Rostov,RUS,1558.0,Rostov,2026-08-30T08:43:37.451971+00:00
401,Villarreal B,ESP,1557.0,VillarrealB,2026-08-30T08:43:37.451971+00:00
402,Al Ittihad,KSA,1557.0,al-ittihad_2,2026-08-30T08:43:37.451971+00:00
403,Tractor Sazi,IRN,1556.0,tractor-sazi,2026-08-30T08:43:37.451971+00:00
404,Slovan,SVK,1556.0,SlovanBratislava,2026-08-30T08:43:37.451971+00:00
405,Juventud Torremol,ESP,1556.0,juventud-torremolinos,2026-08-30T08:43:37.451971+00:00
406,Yokohama F. Marin,JPN,1556.0,yokohama-f-marinos,2026-08-30T08:43:37.451971+00:00
407,Basel,SUI,1556.0,fc-basel-1893,2026-08-30T08:43:37.451971+00:00
408,Maipú,ARG,1555.0,deportivo-maipu,2026-08-30T08:43:37.451971+00:00
409,Mushuc Runa,ECU,1555.0,mushuc-runa,2026-08-30T08:43:37.451971+00:00
410,Blackburn,ENG,1554.0,Blackburn,2026-08-30T08:43:37.451971+00:00
411,Bielefeld,GER,1554.0,Bielefeld,2026-08-30T08:43:37.451971+00:00
412,Gil Vicente,POR,1554.0,GilVicente,2026-08-30T08:43:37.451971+00:00
413,Portland Timbers,USA,1553.0,portland-timbers,2026-08-30T08:43:37.451971+00:00
414,Zulte Waregem,BEL,1553.0,ZulteWaregem,2026-08-30T08:43:37.451971+00:00
415,Sabadell,ESP,1553.0,Sabadell,2026-08-30T08:43:37.451971+00:00
416,Rubin Kazan,RUS,1552.0,RubinKazan,2026-08-30T08:43:37.451971+00:00
417,Pogon,POL,1552.0,Pogon,2026-08-30T08:43:37.451971+00:00
418,Verona,ITA,1552.0,Verona,2026-08-30T08:43:37.451971+00:00
419,Kocaelispor,TUR,1552.0,Kocaelispor,2026-08-30T08:43:37.451971+00:00
420,Derby,ENG,1552.0,Derby,2026-08-30T08:43:37.451971+00:00
421,Bristol City,ENG,1552.0,BristolCity,2026-08-30T08:43:37.451971+00:00
422,Palestino,CHI,1551.0,palestino,2026-08-30T08:43:37.451971+00:00
423,Colón de Santa Fe,ARG,1551.0,colon-de-santa-fe,2026-08-30T08:43:37.451971+00:00
424,Gyoer,HUN,1550.0,Gyoer,2026-08-30T08:43:37.451971+00:00
425,QPR,ENG,1550.0,QPR,2026-08-30T08:43:37.451971+00:00
426,Erzurum,TUR,1550.0,ErzurumBB,2026-08-30T08:43:37.451971+00:00
427,Emelec,ECU,1550.0,emelec,2026-08-30T08:43:37.451971+00:00
428,Gornik,POL,1550.0,Gornik,2026-08-30T08:43:37.451971+00:00
429,Botafogo SP,BRA,1550.0,BotafogoSP,2026-08-30T08:43:37.451971+00:00
430,Arouca,POR,1550.0,Arouca,2026-08-30T08:43:37.451971+00:00
431,Querétaro,MEX,1549.0,gallos-blancos,2026-08-30T08:43:37.451971+00:00
432,Hradec Kralove,CZE,1549.0,HradecKralove,2026-08-30T08:43:37.451971+00:00
433,Craiova,ROU,1548.0,Craiova,2026-08-30T08:43:37.451971+00:00
434,Orense,ECU,1548.0,orense-sc,2026-08-30T08:43:37.451971+00:00
435,Vicenza,ITA,1548.0,l-r-vicenza,2026-08-30T08:43:37.451971+00:00
436,Sirius,SWE,1548.0,IKSirius,2026-08-30T08:43:37.451971+00:00
437,FAR,MAR,1548.0,far-de-rabat,2026-08-30T08:43:37.451971+00:00
438,Atlas,MEX,1548.0,atlas-guadalajara,2026-08-30T08:43:37.451971+00:00
439,Dresden,GER,1547.0,Dresden,2026-08-30T08:43:37.451971+00:00
440,Mirandes,ESP,1547.0,Mirandes,2026-08-30T08:43:37.451971+00:00
441,Alanyaspor,TUR,1547.0,Alanyaspor,2026-08-30T08:43:37.451971+00:00
442,Magdeburg,GER,1547.0,Magdeburg,2026-08-30T08:43:37.451971+00:00
443,Huesca,ESP,1546.0,Huesca,2026-08-30T08:43:37.451971+00:00
444,Urawa Reds,JPN,1546.0,urawareds,2026-08-30T08:43:37.451971+00:00
445,Deportivo Cali,COL,1546.0,deportivo-cali,2026-08-30T08:43:37.451971+00:00
446,Bodrum,TUR,1545.0,bodrum-fk,2026-08-30T08:43:37.451971+00:00
447,Real Madrid B,ESP,1545.0,RealMadridB,2026-08-30T08:43:37.451971+00:00
448,Pontevedra,ESP,1545.0,Pontevedra,2026-08-30T08:43:37.451971+00:00
449,Metz,FRA,1545.0,Metz,2026-08-30T08:43:37.451971+00:00
450,Atlanta,ARG,1545.0,atlanta,2026-08-30T08:43:37.451971+00:00
451,Sportivo Ameliano,PAR,1545.0,sportivo-ameliano,2026-08-30T08:43:37.451971+00:00
452,Sion,SUI,1545.0,Sion,2026-08-30T08:43:37.451971+00:00
453,Águilas Doradas,COL,1545.0,aguilas-doradas,2026-08-30T08:43:37.451971+00:00
454,Johor Darul Ta’zi,MAS,1544.0,johor-darul-tazim,2026-08-30T08:43:37.451971+00:00
455,Real Salt Lake,USA,1544.0,real-salt-lake,2026-08-30T08:43:37.451971+00:00
456,Rizespor,TUR,1543.0,Rizespor,2026-08-30T08:43:37.451971+00:00
457,Real Sociedad B,ESP,1543.0,SociedadB,2026-08-30T08:43:37.451971+00:00
458,Quilmes,ARG,1543.0,quilmes,2026-08-30T08:43:37.451971+00:00
459,Mjällby,SWE,1542.0,Mjaellby,2026-08-30T08:43:37.451971+00:00
460,Mechelen,BEL,1542.0,Mechelen,2026-08-30T08:43:37.451971+00:00
461,Luton,ENG,1542.0,Luton,2026-08-30T08:43:37.451971+00:00
462,2 de Mayo,PAR,1542.0,2-de-mayo,2026-08-30T08:43:37.451971+00:00
463,Ferroviária SP,BRA,1542.0,ferroviaria-sp,2026-08-30T08:43:37.451971+00:00
464,Annecy,FRA,1541.0,Annecy,2026-08-30T08:43:37.451971+00:00
465,Cadiz,ESP,1540.0,Cadiz,2026-08-30T08:43:37.451971+00:00
466,Red Star,FRA,1539.0,RedStar,2026-08-30T08:43:37.451971+00:00
467,Austria Wien,AUT,1539.0,AustriaWien,2026-08-30T08:43:37.451971+00:00
468,Jablonec,CZE,1539.0,Jablonec,2026-08-30T08:43:37.451971+00:00
469,Servette FC,SUI,1539.0,servette-fc,2026-08-30T08:43:37.451971+00:00
470,Charlton,ENG,1539.0,Charlton,2026-08-30T08:43:37.451971+00:00
471,Río Cuarto,ARG,1538.0,estudiantes-de-rio-cuarto,2026-08-30T08:43:37.451971+00:00
472,Maldonado,URU,1538.0,Maldonado,2026-08-30T08:43:37.451971+00:00
473,Aldosivi,ARG,1538.0,aldosivi,2026-08-30T08:43:37.451971+00:00
474,Gangwon FC,KOR,1538.0,gangwon-fc,2026-08-30T08:43:37.451971+00:00
475,León,MEX,1537.0,club-leon,2026-08-30T08:43:37.451971+00:00
476,Orlando Pirates,RSA,1537.0,orlando-pirates,2026-08-30T08:43:37.451971+00:00
477,Colorado Rapids,USA,1537.0,colorado-rapids,2026-08-30T08:43:37.451971+00:00
478,Cercle Brugge,BEL,1537.0,CercleBrugge,2026-08-30T08:43:37.451971+00:00
479,Necaxa,MEX,1536.0,club-necaxa,2026-08-30T08:43:37.451971+00:00
480,Atletico B,ESP,1536.0,AtleticoB,2026-08-30T08:43:37.451971+00:00
481,Düsseldorf,GER,1536.0,Duesseldorf,2026-08-30T08:43:37.451971+00:00
482,Kyoto Purple Sang,JPN,1536.0,kyoto-sanga-fc,2026-08-30T08:43:37.451971+00:00
483,Stockport,ENG,1535.0,Stockport,2026-08-30T08:43:37.451971+00:00
484,Molde,NOR,1535.0,Molde,2026-08-30T08:43:37.451971+00:00
485,Colegiales de Mun,ARG,1535.0,colegiales-de-munro,2026-08-30T08:43:37.451971+00:00
486,Sabah FK,AZE,1534.0,sabah-fk,2026-08-30T08:43:37.451971+00:00
487,Melgar,PER,1534.0,fbc-melgar,2026-08-30T08:43:37.451971+00:00
488,Terek Grozny,RUS,1534.0,TerekGrozny,2026-08-30T08:43:37.451971+00:00
489,Osnabrück,GER,1534.0,Osnabrueck,2026-08-30T08:43:37.451971+00:00
490,Everton,CHI,1534.0,everton_11,2026-08-30T08:43:37.451971+00:00
491,Daejeon Hana Citi,KOR,1534.0,daejeon-hana-citizen,2026-08-30T08:43:37.451971+00:00
492,Deportivo Recolet,PAR,1533.0,deportivorecoleta,2026-08-30T08:43:37.451971+00:00
493,Kasimpasa,TUR,1533.0,Kasimpasa,2026-08-30T08:43:37.451971+00:00
494,Central Español,URU,1533.0,central-espanol,2026-08-30T08:43:37.451971+00:00
495,Rosenborg,NOR,1533.0,Rosenborg,2026-08-30T08:43:37.451971+00:00
496,Malmö,SWE,1533.0,Malmoe,2026-08-30T08:43:37.451971+00:00
497,Portsmouth,ENG,1533.0,Portsmouth,2026-08-30T08:43:37.451971+00:00
498,Figueirense,BRA,1532.0,lsapi-452,2026-08-30T08:43:37.451971+00:00
499,ES Tunis,TUN,1532.0,estunis,2026-08-30T08:43:37.451971+00:00
500,Deportivo Sapriss,CRC,1532.0,deportivo-saprissa,2026-08-30T08:43:37.451971+00:00
501,Santa Clara,POR,1531.0,SantaClara,2026-08-30T08:43:37.451971+00:00
502,Katowice,POL,1531.0,Katowice,2026-08-30T08:43:37.451971+00:00
503,Heerenveen,NED,1531.0,Heerenveen,2026-08-30T08:43:37.451971+00:00
504,Modena,ITA,1531.0,Modena,2026-08-30T08:43:37.451971+00:00
505,Rapid Wien,AUT,1531.0,RapidWien,2026-08-30T08:43:37.451971+00:00
506,Chengdu Rongcheng,CHN,1531.0,chengdu-rongcheng,2026-08-30T08:43:37.451971+00:00
507,Zamora,ESP,1530.0,zamora-cf,2026-08-30T08:43:37.451971+00:00
508,Elfsborg,SWE,1530.0,Elfsborg,2026-08-30T08:43:37.451971+00:00
509,Razgrad,BUL,1530.0,Razgrad,2026-08-30T08:43:37.451971+00:00
510,Al Sadd,QAT,1529.0,al-sadd,2026-08-30T08:43:37.451971+00:00
511,Al Ain,UAE,1529.0,alain,2026-08-30T08:43:37.451971+00:00
512,Pisa,ITA,1528.0,pisa-sc,2026-08-30T08:43:37.451971+00:00
513,Limache,CHI,1528.0,limache,2026-08-30T08:43:37.451971+00:00
514,Barcelona B,ESP,1528.0,BarcelonaB,2026-08-30T08:43:37.451971+00:00
515,CFR Cluj,ROU,1528.0,CFRCluj,2026-08-30T08:43:37.451971+00:00
516,Almirante Brown,ARG,1528.0,almirante-brown,2026-08-30T08:43:37.451971+00:00
517,San Jose,USA,1528.0,san-jose-earthquakes,2026-08-30T08:43:37.451971+00:00
518,Llaneros,COL,1527.0,llaneros-fc,2026-08-30T08:43:37.451971+00:00
519,Valladolid,ESP,1527.0,Valladolid,2026-08-30T08:43:37.451971+00:00
520,Empoli,ITA,1527.0,Empoli,2026-08-30T08:43:37.451971+00:00
521,NE Revolution,USA,1527.0,new-england-revolution,2026-08-30T08:43:37.451971+00:00
522,Westerlo,BEL,1527.0,Westerlo,2026-08-30T08:43:37.451971+00:00
523,Guarani,BRA,1526.0,guarani-sp,2026-08-30T08:43:37.451971+00:00
524,Cuenca,ECU,1526.0,deportivo-cuenca,2026-08-30T08:43:37.451971+00:00
525,Fortaleza,COL,1525.0,fortaleza-fc,2026-08-30T08:43:37.451971+00:00
526,Celje,SVN,1525.0,Celje,2026-08-30T08:43:37.451971+00:00
527,CE Europa,ESP,1524.0,ce-europa,2026-08-30T08:43:37.451971+00:00
528,Juve Stabia,ITA,1523.0,JuveStabia,2026-08-30T08:43:37.451971+00:00
529,LD Alajuelense,CRC,1523.0,ld-alajuelense,2026-08-30T08:43:37.451971+00:00
530,Eyupspor,TUR,1523.0,Eyupspor,2026-08-30T08:43:37.451971+00:00
531,San Luis,MEX,1522.0,atletico-san-luis,2026-08-30T08:43:37.451971+00:00
532,LA Galaxy,USA,1522.0,los-angeles-galaxy,2026-08-30T08:43:37.451971+00:00
533,Berkane,MAR,1522.0,rs-berkane,2026-08-30T08:43:37.451971+00:00
534,AIK,SWE,1522.0,AIK,2026-08-30T08:43:37.451971+00:00
535,Murcia,ESP,1521.0,Murcia,2026-08-30T08:43:37.451971+00:00
536,Plymouth,ENG,1521.0,Plymouth,2026-08-30T08:43:37.451971+00:00
537,Persepolis,IRN,1521.0,persepolis,2026-08-30T08:43:37.451971+00:00
538,Fagiano Okayama,JPN,1521.0,fagiano-okayama,2026-08-30T08:43:37.451971+00:00
539,Ciudad de Bolívar,ARG,1521.0,lsapi-6893,2026-08-30T08:43:37.451971+00:00
540,Unionistas,ESP,1521.0,unionistas-cf,2026-08-30T08:43:37.451971+00:00
541,Maccabi Haifa,ISR,1520.0,MaccabiHaifa,2026-08-30T08:43:37.451971+00:00
542,Deportes Concepci,CHI,1520.0,deportes-concepcion,2026-08-30T08:43:37.451971+00:00
543,Go Ahead Eagles,NED,1520.0,GoAheadEagles,2026-08-30T08:43:37.451971+00:00
544,Pasto,COL,1520.0,deportivo-pasto,2026-08-30T08:43:37.451971+00:00
545,Hearts,SCO,1520.0,Hearts,2026-08-30T08:43:37.451971+00:00
546,Albion,URU,1520.0,albion,2026-08-30T08:43:37.451971+00:00
547,UD Ibiza,ESP,1520.0,ud-ibiza,2026-08-30T08:43:37.451971+00:00
548,Deportivo Táchira,VEN,1519.0,deportivo-tachira,2026-08-30T08:43:37.451971+00:00
549,América Mineiro,BRA,1519.0,america-mg,2026-08-30T08:43:37.451971+00:00
550,Sporting Cristal,PER,1519.0,sporting-cristal,2026-08-30T08:43:37.451971+00:00
551,Rijeka,CRO,1519.0,Rijeka,2026-08-30T08:43:37.451971+00:00
552,Ulsan,KOR,1518.0,ulsan,2026-08-30T08:43:37.451971+00:00
553,Dijon,FRA,1518.0,Dijon,2026-08-30T08:43:37.451971+00:00
554,Watford,ENG,1518.0,Watford,2026-08-30T08:43:37.451971+00:00
555,Beitar,ISR,1518.0,Beitar,2026-08-30T08:43:37.451971+00:00
556,Gimcheon Sangmu,KOR,1518.0,gimcheon-sangmu,2026-08-30T08:43:37.451971+00:00
557,Raja,MAR,1518.0,raja-casablanca,2026-08-30T08:43:37.451971+00:00
558,Barakaldo,ESP,1518.0,Barakaldo,2026-08-30T08:43:37.451971+00:00
559,Moreirense,POR,1517.0,Moreirense,2026-08-30T08:43:37.451971+00:00
560,Union Brescia,ITA,1517.0,lsapi-8357,2026-08-30T08:43:37.451971+00:00
561,Agropecuario,ARG,1516.0,agropecuario-argentino,2026-08-30T08:43:37.451971+00:00
562,Austin,USA,1516.0,austin-fc,2026-08-30T08:43:37.451971+00:00
563,GAIS,SWE,1516.0,GAIS,2026-08-30T08:43:37.451971+00:00
564,CS Herediano,CRC,1516.0,cs-herediano,2026-08-30T08:43:37.451971+00:00
565,Bolton,ENG,1515.0,Bolton,2026-08-30T08:43:37.451971+00:00
566,Cerro Largo,URU,1515.0,cerro-largo,2026-08-30T08:43:37.451971+00:00
567,Verl,GER,1515.0,sc-verl,2026-08-30T08:43:37.451971+00:00
568,Zaragoza,ESP,1515.0,Zaragoza,2026-08-30T08:43:37.451971+00:00
569,Avispa Fukuoka,JPN,1515.0,avispa-fukuoka,2026-08-30T08:43:37.451971+00:00
570,Auckland FC,AUS,1514.0,auckland-fc,2026-08-30T08:43:37.451971+00:00
571,Aris Limassol,CYP,1514.0,aris-limassol,2026-08-30T08:43:37.451971+00:00
572,Polissya Zhytomyr,UKR,1514.0,polissya-zhytomyr,2026-08-30T08:43:37.451971+00:00
573,Boston River,URU,1514.0,boston-river,2026-08-30T08:43:37.451971+00:00
574,Europa,ESP,1513.0,lsapi-8363,2026-08-30T08:43:37.451971+00:00
575,Juventud,URU,1513.0,juventud-de-las-piedras,2026-08-30T08:43:37.451971+00:00
576,CA Los Andes,ARG,1513.0,ca-los-andes,2026-08-30T08:43:37.451971+00:00
577,Maringá PR,BRA,1513.0,lsapi-6763,2026-08-30T08:43:37.451971+00:00
578,Brusque,BRA,1513.0,brusque-sc,2026-08-30T08:43:37.451971+00:00
579,Inter de Limeira,BRA,1512.0,inter-de-limeira-sp,2026-08-30T08:43:37.451971+00:00
580,Preston,ENG,1512.0,Preston,2026-08-30T08:43:37.451971+00:00
581,Carabobo FC,VEN,1512.0,carabobo-fc,2026-08-30T08:43:37.451971+00:00
582,New York RB,USA,1512.0,new-york-rb,2026-08-30T08:43:37.451971+00:00
583,Rostock,GER,1512.0,Rostock,2026-08-30T08:43:37.451971+00:00
584,Dunkerque,FRA,1511.0,Dunkerque,2026-08-30T08:43:37.451971+00:00
585,Sant Andreu,ESP,1511.0,SantAndreu,2026-08-30T08:43:37.451971+00:00
586,Kryliya Sovetov,RUS,1511.0,KryliyaSovetov,2026-08-30T08:43:37.451971+00:00
587,Incheon United,KOR,1511.0,incheon-united,2026-08-30T08:43:37.451971+00:00
588,Rodina Moskva,RUS,1511.0,rodina-moskva,2026-08-30T08:43:37.451971+00:00
589,Patronato,ARG,1510.0,patronato-de-parana,2026-08-30T08:43:37.451971+00:00
590,Cottbus,GER,1510.0,Cottbus,2026-08-30T08:43:37.451971+00:00
591,Konyaspor,TUR,1510.0,Konyaspor,2026-08-30T08:43:37.451971+00:00
592,Lillestrøm,NOR,1510.0,Lillestrom,2026-08-30T08:43:37.451971+00:00
593,Atlético Rafaela,ARG,1510.0,atletico-rafaela,2026-08-30T08:43:37.451971+00:00
594,Aachen,GER,1510.0,Aachen,2026-08-30T08:43:37.451971+00:00
595,Stoke,ENG,1510.0,Stoke,2026-08-30T08:43:37.451971+00:00
596,Inter Turku,FIN,1509.0,InterTurku,2026-08-30T08:43:37.451971+00:00
597,Çorum FK,TUR,1509.0,corum-fk,2026-08-30T08:43:37.451971+00:00
598,Essen,GER,1509.0,Essen,2026-08-30T08:43:37.451971+00:00
599,FK Riga,LVA,1509.0,FKRiga,2026-08-30T08:43:37.451971+00:00
600,Cultural Leonesa,ESP,1509.0,cultural-leonesa,2026-08-30T08:43:37.451971+00:00
601,Slovan Liberec,CZE,1508.0,SlovanLiberec,2026-08-30T08:43:37.451971+00:00
602,Makhachkala,RUS,1508.0,fk-dinamo-makhachkala,2026-08-30T08:43:37.451971+00:00
603,Defensor,URU,1508.0,Defensor,2026-08-30T08:43:37.451971+00:00
604,Vikingur,ISL,1508.0,Vikingur,2026-08-30T08:43:37.451971+00:00
605,Huachipato,CHI,1508.0,huachipato,2026-08-30T08:43:37.451971+00:00
606,Fürth,GER,1508.0,Fuerth,2026-08-30T08:43:37.451971+00:00
607,Gaziantep,TUR,1507.0,GaziantepFK,2026-08-30T08:43:37.451971+00:00
608,Aris,GRE,1507.0,Aris,2026-08-30T08:43:37.451971+00:00
609,Pohang Steelers,KOR,1507.0,pohang-steelers,2026-08-30T08:43:37.451971+00:00
610,Korona,POL,1507.0,Korona,2026-08-30T08:43:37.451971+00:00
611,Wanderers,URU,1507.0,MontevideoWanderers,2026-08-30T08:43:37.451971+00:00
612,Chaco For Ever,ARG,1506.0,chaco-for-ever,2026-08-30T08:43:37.451971+00:00
613,Esteghlal,IRN,1506.0,esteghlal,2026-08-30T08:43:37.451971+00:00
614,Ascoli,ITA,1506.0,Ascoli,2026-08-30T08:43:37.451971+00:00
615,Shanghai Port FC,CHN,1505.0,shanghai-port-fc,2026-08-30T08:43:37.451971+00:00
616,Mantova,ITA,1505.0,mantova-1911-ssd,2026-08-30T08:43:37.451971+00:00
617,Defensores de Bel,ARG,1505.0,defensores-de-belgrano,2026-08-30T08:43:37.451971+00:00
618,Alcorcon,ESP,1505.0,Alcorcon,2026-08-30T08:43:37.451971+00:00
619,Estoril,POR,1505.0,Estoril,2026-08-30T08:43:37.451971+00:00
620,Luzern,SUI,1505.0,Luzern,2026-08-30T08:43:37.451971+00:00
621,CSA AL,BRA,1505.0,csa-al,2026-08-30T08:43:37.451971+00:00
622,Numancia,ESP,1505.0,Numancia,2026-08-30T08:43:37.451971+00:00
623,Londrina,BRA,1504.0,londrina-pr,2026-08-30T08:43:37.451971+00:00
624,Hartberg,AUT,1504.0,Hartberg,2026-08-30T08:43:37.451971+00:00
625,Alverca,POR,1504.0,Alverca,2026-08-30T08:43:37.451971+00:00
626,Spezia,ITA,1503.0,Spezia,2026-08-30T08:43:37.451971+00:00
627,San Miguel,ARG,1503.0,atletico-san-miguel,2026-08-30T08:43:37.451971+00:00
628,Avellino,ITA,1503.0,us-avellino,2026-08-30T08:43:37.451971+00:00
629,Buriram United,THA,1503.0,buriram-united,2026-08-30T08:43:37.451971+00:00
630,Real Garcilaso,PER,1503.0,cusco-fc,2026-08-30T08:43:37.451971+00:00
631,Ourense,ESP,1503.0,ourense-cf,2026-08-30T08:43:37.451971+00:00
